answer_id,question_id,question_iter,answer_text,answer_value,logic,questionnaire_unique_id,answer_image
Q014A2,Q014,14,Mother,5,multiply,e987f55d-5add-4f61-8f71-05963a59ab84,
Q015A3,Q015,15,Father,5,multiply,e987f55d-5add-4f61-8f71-05963a59ab84,
Q017A1,Q017,16,Yourself,6,multiply,e987f55d-5add-4f61-8f71-05963a59ab84,
Q018A1,Q018,17,Yourself,6,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q019A2,Q019,18,Middle of the road arch (Subtle pes cavus),1,multiply,e987f55d-5add-4f61-8f71-05963a59ab84,
Q020A2,Q020,19,Sore feet,2,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q021A1,Q021,20,Yes,2,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q022A1,Q022,21,Hammer toe/mallet toe,1,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q023,22,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q024,23,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q025,24,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q023,22,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q024,23,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q025,24,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q023,22,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q024,23,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q023A1,Q025,24,Yes,5,addition,e987f55d-5add-4f61-8f71-05963a59ab84,
Q001A2,Q001,1,Female,1,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q002A2,Q002,2,12-19,5,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q003A1,Q003,3,Yes,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q004A2,Q004,4,Retail/Hospitality/Duty Manager,5,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q005A3,Q005,5,9-12 hours,3,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q006A4,Q006,6,10000-12499 steps (Active),3,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q007A4,Q007,7,"Vigorous (competitive sports, jogging, aerobic exercise, weight lifting",4,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q008A5,Q008,8,I exercise at least five times a week,3,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q009A3,Q009,9,Runners (Adidas/Nike),3,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,../static/runnerssuchasadidasornike.png
Q010A1,Q010,10,Worn from Inside,1,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,../static/wornfrominside.png
Q011A3,Q011,11,I don't suffer from Calluses,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q012A3,Q012,12,UK 8-9,3,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q013A3,Q013,13,11-13 stone (69-82kg),3,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q014A3,Q014,14,Father,5,multiply,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q015A3,Q015,15,Father,5,multiply,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q017A1,Q017,16,Yourself,6,multiply,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q018A1,Q018,17,Yourself,6,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q019A1,Q019,18,Severe high arch (Severe pes cavus),1,multiply,4f36b133-01e3-4627-a4b0-948ce8e20277,../static/severehigharch.png
Q020A1,Q020,19,Heel Pain,1,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q021A1,Q021,20,Yes,2,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q022A4,Q022,21,No history of the following medical conditions,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q023,22,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q024,23,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q025,24,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q023,22,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q024,23,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q025,24,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q023,22,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q024,23,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
Q023A2,Q025,24,No,0,addition,4f36b133-01e3-4627-a4b0-948ce8e20277,No Image
